Year,CountryCode,HostCity,HostCountry,HostCountryCode,Awarded.Gold,Awarded.Silver,Awarded.Bronze,Awarded.Total,Population,GDPpC,pre_host2,pre_host,Host,post_host,post_host2,gold_pre1,med_pre1,gold_pre2,med_pre2,gold_pre3,med_pre3,TotalEntries,GoldMedals,SilverMedals,BronzeMedals,TotalMedals
1992,CRO,Barcelona,Spain,ESP,260,257,298,815,4.76000309,9676.68588005055,N,N,N,N,N,NA,NA,NA,NA,NA,NA,27,0,1,2,3
1992,CUB,Barcelona,Spain,ESP,260,257,298,815,10.67,2279.28772258669,N,N,N,N,N,NA,NA,NA,NA,8,20,108,14,6,11,31
1992,CYP,Barcelona,Spain,ESP,260,257,298,815,0.594900012,20136.8119152097,N,N,N,N,N,0,0,0,0,0,0,18,0,0,0,0
1992,DEN,Barcelona,Spain,ESP,260,257,298,815,5.15490818,25824.7840604602,N,N,N,N,N,2,4,0,6,2,5,86,1,1,4,6
1992,DJI,Barcelona,Spain,ESP,260,257,298,815,0.606844008,2216.18995041638,N,N,N,N,N,0,1,0,0,NA,NA,8,0,0,0,0
1992,DOM,Barcelona,Spain,ESP,260,257,298,815,7.325622082,4511.59477107189,N,N,N,N,N,0,0,0,1,0,0,13,0,0,0,0
1992,ECU,Barcelona,Spain,ESP,260,257,298,815,10.46098995,5808.46602285475,N,N,N,N,N,0,0,0,0,0,0,15,0,0,0,0
1992,EGY,Barcelona,Spain,ESP,260,257,298,815,58.75239182,2280.83028194919,N,N,N,N,N,0,0,0,1,NA,NA,37,0,0,0,0
1992,ESA,Barcelona,Spain,ESP,260,257,298,815,5.326656818,2579.49597833468,N,N,N,N,N,0,0,0,0,NA,NA,6,0,0,0,0
1992,ESP,Barcelona,Spain,ESP,260,257,298,815,39.40319824,18110.5127724272,N,N,Y,N,N,1,4,1,5,1,6,304,13,7,2,22
1992,EST,Barcelona,Spain,ESP,260,257,298,815,1.548215032,11472.7015387873,N,N,N,N,N,NA,NA,NA,NA,NA,NA,38,1,0,1,2
1992,ETH,Barcelona,Spain,ESP,260,257,298,815,49.82108307,648.493498116158,N,N,N,N,N,NA,NA,NA,NA,2,4,21,1,0,2,3
1992,EUN,Barcelona,Spain,ESP,260,257,298,815,NA,NA,N,N,N,N,N,NA,NA,NA,NA,NA,NA,421,45,38,29,112
1992,FIJ,Barcelona,Spain,ESP,260,257,298,815,0.735472977,5503.89204442518,N,N,N,N,N,0,0,0,0,NA,NA,34,0,0,0,0
1992,FIN,Barcelona,Spain,ESP,260,257,298,815,5.019124985,23340.3684805829,N,N,N,N,N,1,4,4,12,3,8,108,1,2,2,5
1992,FRA,Barcelona,Spain,ESP,260,257,298,815,58.83193588,24931.0999725002,N,N,N,N,N,6,16,5,28,6,14,333,8,5,16,29
1992,GAB,Barcelona,Spain,ESP,260,257,298,815,0.978223026,9112.61210896911,N,N,N,N,N,0,0,0,0,NA,NA,5,0,0,0,0
1992,GAM,Barcelona,Spain,ESP,260,257,298,815,0.949492991,2606.37892902571,N,N,N,N,N,0,0,0,0,NA,NA,5,0,0,0,0
