Year,CountryCode,ISOCode,TotalEntries,GoldMedals,SilverMedals,BronzeMedals,TotalMedals
1996,BDI,BDI,7,1,0,0,1
2000,BDI,BDI,6,0,0,0,0
2004,BDI,BDI,7,0,0,0,0
2008,BDI,BDI,3,0,0,0,0
2012,BDI,BDI,6,0,0,0,0
2016,BDI,BDI,10,0,1,0,1
1976,BEL,BEL,109,0,3,3,6
1980,BEL,BEL,67,1,0,0,1
1984,BEL,BEL,71,1,1,2,4
1988,BEL,BEL,79,0,0,2,2
1992,BEL,BEL,85,0,1,2,3
1996,BEL,BEL,73,2,2,2,6
2000,BEL,BEL,76,0,2,3,5
2004,BEL,BEL,56,1,0,2,3
2008,BEL,BEL,67,1,1,0,2
2012,BEL,BEL,90,0,1,2,3
2016,BEL,BEL,107,2,2,2,6
1980,BEN,BEN,17,0,0,0,0
1984,BEN,BEN,3,0,0,0,0
1988,BEN,BEN,7,0,0,0,0
1992,BEN,BEN,7,0,0,0,0
1996,BEN,BEN,4,0,0,0,0
2000,BEN,BEN,4,0,0,0,0
2004,BEN,BEN,4,0,0,0,0
2008,BEN,BEN,5,0,0,0,0
2012,BEN,BEN,5,0,0,0,0
2016,BEN,BEN,6,0,0,0,0
1976,BER,BMU,14,0,0,1,1
1984,BER,BMU,12,0,0,0,0
1988,BER,BMU,13,0,0,0,0
1992,BER,BMU,23,0,0,0,0
1996,BER,BMU,9,0,0,0,0
2000,BER,BMU,6,0,0,0,0
2004,BER,BMU,7,0,0,0,0
2008,BER,BMU,6,0,0,0,0
2012,BER,BMU,8,0,0,0,0
2016,BER,BMU,8,0,0,0,0
1984,BHU,BTN,6,0,0,0,0
1988,BHU,BTN,4,0,0,0,0
1992,BHU,BTN,8,0,0,0,0
1996,BHU,BTN,2,0,0,0,0
2000,BHU,BTN,2,0,0,0,0
2004,BHU,BTN,2,0,0,0,0
2008,BHU,BTN,2,0,0,0,0
2012,BHU,BTN,2,0,0,0,0
2016,BHU,BTN,2,0,0,0,0
1992,BIH,BIH,13,0,0,0,0
1996,BIH,BIH,12,0,0,0,0
