OlympicYear,ISOCode,Country,Population,GDPpC
2016,BGR,Bulgaria,7.177395821,17796.5379206582
1992,BHR,Bahrain,0.509765029,15281.7784034377
1996,BHR,Bahrain,0.563699007,16560.2735681243
2000,BHR,Bahrain,0.636545002,18688.3957027755
2004,BHR,Bahrain,0.778711021,27430.4535366272
2008,BHR,Bahrain,1.035891056,41015.7604256794
2012,BHR,Bahrain,1.278269053,42522.9610561494
2016,BHR,Bahrain,1.371855021,39770.7357955575
1992,BHS,Bahamas,0.261115998,23511.9683245145
1996,BHS,Bahamas,0.280149996,23629.5378744178
2000,BHS,Bahamas,0.293572009,33859.3627057953
2004,BHS,Bahamas,0.315746009,34853.8525470325
2008,BHS,Bahamas,0.342328012,35920.2615297518
2012,BHS,Bahamas,0.366567999,30619.425565296
2016,BHS,Bahamas,0.386837989,29235.4755778652
1992,BIH,Bosnia and Herzegovina,4.371603012,1256.55110103122
1996,BIH,Bosnia and Herzegovina,3.843712091,1811.57820725028
2000,BIH,Bosnia and Herzegovina,3.75911808,5095.8345394673
2004,BIH,Bosnia and Herzegovina,3.779247046,5865.92591862014
2008,BIH,Bosnia and Herzegovina,3.773999929,8272.62618371925
2012,BIH,Bosnia and Herzegovina,3.688864946,9553.14711865843
2016,BIH,Bosnia and Herzegovina,3.535960913,10916.886396589
1992,BLR,Belarus,10.22649288,13404.4518397983
1996,BLR,Belarus,10.14230824,7620.79974015856
2000,BLR,Belarus,9.986932755,8003.23771480125
2004,BLR,Belarus,9.740054131,9111.56624453877
2008,BLR,Belarus,9.536864281,13203.9780780854
2012,BLR,Belarus,9.468500137,18569.4355553665
2016,BLR,Belarus,9.485772133,17014.5034939772
1992,BLZ,Belize,0.191126004,5671.38790282038
1996,BLZ,Belize,0.206963003,7453.34611809822
2000,BLZ,Belize,0.239025995,6404.15602495452
2004,BLZ,Belize,0.269129992,7480.63661370005
2008,BLZ,Belize,0.298406988,7762.89691312457
2012,BLZ,Belize,0.329192013,7732.22946937051
2016,BLZ,Belize,0.359288007,8159.58590290491
1992,BMU,Bermuda,0.061312001,29202.5404129283
1996,BMU,Bermuda,0.062696002,31282.673877674
2000,BMU,Bermuda,0.063767001,37537.0904772517
2004,BMU,Bermuda,0.06487,46376.0340681363
2008,BMU,Bermuda,0.064892001,60522.4908536878
2012,BMU,Bermuda,0.063580997,61206.9418949187
2016,BMU,Bermuda,0.062003002,61575.6121453603
1992,BOL,Bolivia (Plurinational State of),6.992520809,2266.40746633207
1996,BOL,Bolivia (Plurinational State of),7.56671381,2840.40338642066
2000,BOL,Bolivia (Plurinational State of),8.182711601,3073.78957201989
2004,BOL,Bolivia (Plurinational State of),8.810420036,3367.26749675706
2008,BOL,Bolivia (Plurinational State of),9.441444397,4248.83802554051
2012,BOL,Bolivia (Plurinational State of),10.07834339,5576.74892143162
2016,BOL,Bolivia (Plurinational State of),10.72470474,5776.384257829
1992,BRA,Brazil,151.9765778,6272.55002908744
1996,BRA,Brazil,162.2966156,8543.29891522396
2000,BRA,Brazil,172.7592468,8622.72875456875
2004,BRA,Brazil,182.4821472,8358.19913565769
2008,BRA,Brazil,191.0266418,10462.149316808
2012,BRA,Brazil,198.6866913,15019.9126598471
2016,BRA,Brazil,205.9621124,14450.0678562666
1992,BRB,Barbados,0.261274993,17256.2737873655
1996,BRB,Barbados,0.264959008,19333.083436816
2000,BRB,Barbados,0.268922001,22462.531598521
2004,BRB,Barbados,0.272258013,19942.9427886113
2008,BRB,Barbados,0.276149988,21108.2994542806
2012,BRB,Barbados,0.280600995,16184.2734805698
2016,BRB,Barbados,0.284217,14639.8252286105
1992,BRN,Brunei Darussalam,0.266274005,50733.4173683233
1996,BRN,Brunei Darussalam,0.297192007,39295.1092389238
2000,BRN,Brunei Darussalam,0.326288998,42996.9706793485
2004,BRN,Brunei Darussalam,0.353388995,53607.5338169487
2008,BRN,Brunei Darussalam,0.374864012,73672.2890326426
2012,BRN,Brunei Darussalam,0.394012988,79360.7593463391
2016,BRN,Brunei Darussalam,0.417542011,57518.3467466702
1992,BTN,Bhutan,0.537284017,2489.86655227453
1996,BTN,Bhutan,0.514877021,3183.69173636125
2000,BTN,Bhutan,0.55754298,3823.60823196088
2004,BTN,Bhutan,0.623434007,4891.91572284571
2008,BTN,Bhutan,0.686958015,6161.34588370732
2012,BTN,Bhutan,0.740509987,6598.86559909421
2016,BTN,Bhutan,0.787386,7447.23196881834
1992,BWA,Botswana,1.416731,6416.09443359396
1996,BWA,Botswana,1.569093943,7064.44466849873
2000,BWA,Botswana,1.699862003,9725.17477937884
2004,BWA,Botswana,1.804339051,10497.8321172521
2008,BWA,Botswana,1.914414048,13347.7137856857
2012,BWA,Botswana,2.051338911,13908.6721540768
2016,BWA,Botswana,2.209197044,15578.4259233329
1992,CAF,Central African Republic,3.014624119,1009.05875522852
1996,CAF,Central African Republic,3.352766991,1021.09166285335
2000,CAF,Central African Republic,3.67650795,920.552066805676
2004,CAF,Central African Republic,3.981664896,837.158268730408
2008,CAF,Central African Republic,4.275800228,868.911157885836
2012,CAF,Central African Republic,4.476152897,917.02620675694
2016,CAF,Central African Republic,4.54610014,673.864353986712
1992,CAN,Canada,28.04460526,29254.0242550734
1996,CAN,Canada,29.3300724,32066.2138904233
2000,CAN,Canada,30.45388412,36495.9973782155
2004,CAN,Canada,31.62780571,38396.9808444862
2008,CAN,Canada,33.01993179,41359.901458476
2012,CAN,Canada,34.53862381,41259.4790353924
2016,CAN,Canada,35.94971085,43222.9867295303
1992,CHE,Switzerland,6.74106884,37455.7372269766
1996,CHE,Switzerland,7.018525124,37769.6785031841
2000,CHE,Switzerland,7.138463974,42750.7979884077
2004,CHE,Switzerland,7.291893005,42027.9325670111
2008,CHE,Switzerland,7.560358047,52723.5363751285
2012,CHE,Switzerland,7.930420876,56751.0784783221
2016,CHE,Switzerland,8.319768906,61787.308134157
1992,CHL,Chile,13.45724392,8017.12671193077
1996,CHL,Chile,14.29661274,11158.5117958507
2000,CHL,Chile,15.07695198,10849.7860387826
2004,CHL,Chile,15.79954243,11187.760707827
2008,CHL,Chile,16.49168777,16855.5367938548
2012,CHL,Chile,17.15335655,20700.7571821271
2016,CHL,Chile,17.76268005,22979.8040133026
1992,CHN,China,1189.183472,2654.89499672427
1996,CHN,China,1239.940063,3424.92522559939
2000,CHN,China,1275.406738,3959.6282107771
2004,CHN,China,1306.343872,5127.94459681134
2008,CHN,China,1336.800537,7330.27757603302
2012,CHN,China,1367.480225,10249.0586289831
2016,CHN,China,1397.028564,12034.4912289138
1992,CIV,Côte d'Ivoire,12.71000767,2256.87299290198
1996,CIV,Côte d'Ivoire,14.54082012,2389.28262802827
2000,CIV,Côte d'Ivoire,16.30023384,2358.26946578332
2004,CIV,Côte d'Ivoire,17.67935562,2325.3686623902
2008,CIV,Côte d'Ivoire,19.08594131,2178.77218076807
2012,CIV,Côte d'Ivoire,20.89531136,2561.92136157764
