Year,IOC CountryCode,Country,Population,GDP,GDPpC,EmpRate
2008,PNG,Papua New Guinea,6.809,9545,NA,NA
2008,PUR,Puerto Rico ,3.61634,89520,NA,NA
2008,PRK,North Korea,24.19,14375,NA,NA
2008,SOL,Solomon Islands,0.492132,516.1,NA,NA
2008,SMR,San Marino,0.030063,2488,NA,NA
2008,SOM,Somalia,11.08,,NA,NA
2008,TLS,Timor Leste,1.036,2881,NA,NA
2008,TGA,Tonga,0.102581,300.1,NA,NA
2008,TUV,Tuvalu,0.010221,27.03,NA,NA
2008,ISV,Virgin Islands,0.108339,4803,NA,NA
2008,VAN,Vanuatu,0.219472,526.3,NA,NA
2008,SAM,Samoa,0.182046,570.5,NA,NA
2012,AFG,Afghanistan ,30.12,17800,NA,NA
2012,AND,Andorra,0.083747,3442,,NA
2012,ASA,American Samoa,0.055759,574,NA,NA
2012,COK,Cook Islands,0.018195,,NA,NA
2012,CUB,Cuba,11.24,68990,NA,NA
2012,ERI,Iritrea,3.214,2610,NA,NA
2012,FSM,Federated States of Micronesia,NA,,NA,NA
2012,GUM,Guam,0.159692,4928,NA,NA
2012,GUY,Guyana,0.752028,2576,NA,NA
2012,KIR,Kiribati ,0.104728,181.7,NA,NA
2012,LBA,Libya,6.247,34700,NA,NA
2012,LIE,Liechtenstein ,0.036636,5740,NA,NA
2012,MON,Monaco,0.036024,6080,NA,NA
2012,MHL,Marshall Islands,0.056531,174.3,NA,NA
2012,IOA,,NA,,NA,NA
2012,LIB,Lebanon,5.202,40080,NA,NA
2012,NRU,Nauru,0.010057,72.68,NA,NA
2012,PLW,Palau,0.017745,193.1,NA,NA
2012,PNG,Papua New Guinea,7.472,1798,NA,NA
2012,PUR,Puerto Rico,3.559861,98380,NA,NA
2012,PRK,North Korea,24.67,15689,NA,NA
2012,SOL,Solomon Islands,0.541521,,NA,NA
2012,SMR,San Marino ,0.031661,2054,NA,NA
2012,SOM,Somalia,12.38,,NA,NA
2012,TLS,Timor Leste,1.113,5672,NA,NA
2012,TGA,Tonga,0.103562,423,NA,NA
2012,TUV,Tuvalu,0.011633,38.71,NA,NA
2012,ISV,Virgin Islands,0.108292,4239,NA,NA
2012,VAN,Vanuatu ,0.242653,792.1,NA,NA
2012,SAM,Samoa,0.187469,737.4,NA,NA
2016,KOS,Kosovo,1.802,6440,NA,NA
2016,AFG,Afghanistan,34.41,19910,NA,NA
2016,AND,Andorra,0.078011,2811,,NA
2016,ASA,American Samoa,0.055812,661,NA,NA
2016,COK,Cook Islands,0.017586,,NA,NA
2016,CUB,Cuba,11.32,87130,NA,NA
2016,ERI,Eritrea,3.342818,2010,NA,NA
2016,FSM,Federated States of Micronesia,NA,,NA,NA
2016,GUM,Guam,0.161853,5710,NA,NA
2016,GUY,Guyana,0.767432,3197,NA,NA
2016,KIR,Kiribati,0.11093,171.1,NA,NA
2016,LBA,Libya,6.418,27840,NA,NA
2016,LIE,Liechtenstein ,0.037468,6268,NA,NA
2016,MON,Monaco,0.037718,6259,NA,NA
2016,MHL,Marshall Islands,0.057439,184.6,NA,NA
2016,LIB,Lebanon,6.533,49970,NA,NA
2016,IOA,,NA,,NA,NA
2016,ROT,,NA,,NA,NA
2016,NRU,Nauru,0.012475,99.97,NA,NA
2016,PLW,Palau,0.017665,280.4,NA,NA
2016,PNG,Papua New Guinea,8.108,21720,NA,NA
2016,PUR,Puerto Rico ,3.381518,103400,NA,NA
2016,PRK,North Korea,25.18,17365,NA,NA
2016,SOL,Solomon Islands,0.603118,1155,NA,NA
2016,SMR,San Marino,0.033272,1523,NA,NA
2016,SSD,,NA,,NA,NA
2016,TLS,Timor Leste,1.196,3093,NA,NA
2016,TGA,Tonga,0.100781,435.4,NA,NA
2016,TUV,Tuvalu,0.011099,35.49,NA,NA
2016,ISV,Virgin Islands,0.10771,3748,NA,NA
2016,VAN,Vanuatu,0.27113,759.7,NA,NA
2016,SAM,Samoa,0.193513,788.3,NA,NA
